category,fold,train_end,horizon,model,MAE,RMSE,MAPE,sMAPE,WAPE,MASE
M01AB,1,1000,30,Naive,2.6733333333333333,3.565338693588591,70.78806659772752,44.15117863786839,43.32324978392393,0.9742678182572059
M01AB,2,1030,30,Naive,2.5665555555666666,3.1590399971715506,77.80553830046345,46.37033489649929,44.338445591983536,0.929551483885736
M01AB,3,1060,30,Naive,2.595666666666667,3.1824691671719303,51.49383166809064,59.54735491218533,49.652489957278576,0.9335718579645594
M01AB,4,1090,30,Naive,4.381652777766665,4.807065518023914,239.0991029505913,58.077099869958445,73.11267517470922,1.5754642925084492
M01AB,5,1120,30,Naive,2.6974444445666665,3.2980773300850914,73.85752061344185,46.5773496466012,46.21769549484325,0.9730147520190918
M01AB,6,1150,30,Naive,4.533666666666667,5.4376045583816905,72.93068655127904,121.61934770446268,81.92879946991147,1.638116969947016
M01AB,7,1180,30,Naive,2.441666666666667,3.0159382177580056,111.56631320646306,51.943169807818315,46.03154653428016,0.8803202552371907
M01AB,8,1210,30,Naive,3.6333333333333333,4.120188507014373,200.69239956769195,65.76976180727105,82.37605804111246,1.295336070990999
M01AB,9,1240,30,Naive,2.6013333333333333,2.9605078393185633,135.31446017419654,62.83038129156634,66.99862637362637,0.9278176595543367
M01AB,10,1270,30,Naive,1.9569999999999999,2.501440251801616,46.92372989669729,38.86936315235966,39.137390840610614,0.6969662761878053
M01AB,11,1300,30,Naive,1.9741666666666666,2.569718694072693,44.373798862761724,46.547757116428556,41.72390714713445,0.7002268163598009
M01AB,12,1330,30,Naive,2.713666666666667,3.7444176227196313,46.290568895839215,52.79728930808307,48.07204015352819,0.962041300485813
M01AB,13,1360,30,Naive,2.0483333333333333,2.5901344881427812,104.08354491386889,51.337798513775304,47.21475220898963,0.7240996855977084
M01AB,14,1390,30,Naive,3.6456666666666666,4.20218871541962,178.48196365961263,64.87080651983923,71.48833257075626,1.2860505769254216
M01AB,15,1420,30,Naive,8.701333333333334,9.132119505715345,349.46531009743177,103.86964536436234,187.98790148350858,3.0604966001357563
M01AB,16,1450,30,Naive,3.9170000000000003,4.736135203588119,64.54685984481908,98.6370783476063,70.81048508586923,1.3802368674887375
